,ID,cityID,pet,rent,space,lat,lng,label,floor,unit
0,1,251,N,25000,62.34,25.1818368,121.4404866,住,5,401.02662816811034
1,2,251,N,32000,50.7,25.1977186,121.421685,住,2,631.1637080867849
2,3,251,N,25000,44.97,25.1785028,121.4549908,住,9,555.926173004225
3,4,251,N,5000,7.0,25.1709182,121.4418365,套,4,714.2857142857143
4,5,239,N,6000,7.99,24.9740471,121.3271345,套,3,750.938673341677
5,6,251,N,6500,8.0,25.1711999,121.4457487,套,4,812.5
6,7,251,N,23000,46.83,25.1829509,121.4467533,住,6,491.1381592995943
7,8,111,N,35000,41.67,25.1230493,121.5320811,住,2,839.93280537557
8,9,111,N,30000,37.84,25.1092383,121.5327146,住,3,792.8118393234672
9,10,111,N,8300,8.0,25.0872039,121.5178478,住,4,1037.5
10,11,110,N,32000,41.82,25.0206478,121.5565914,住,9,765.1841224294595
11,12,106,N,42000,44.0,25.0203684,121.5286824,住,4,954.5454545454545
12,13,106,N,125000,75.2,25.0376562,121.5509786,住,2,1662.2340425531913
13,14,106,N,70000,51.51,25.0211974,121.5341457,住,7,1358.9594253543003
14,15,242,Y,16800,22.3,25.0368448,121.4492228,住,4,753.3632286995515
15,16,114,Y,27000,21.57,25.0984408,121.6048521,住,6,1251.7385257301808
16,17,111,Y,98000,63.69,25.1230493,121.5320811,住,1,1538.7030931072381
17,18,114,Y,26000,21.88,25.0867185,121.5627108,住,8,1188.2998171846436
18,19,114,Y,75000,74.05,25.0602247,121.5838595,住,5,1012.8291694800811
19,20,220,N,60000,67.71,25.0117601,121.4653737,住,7,886.1320336730174
20,21,100,Y,80000,91.78,25.0339771,121.5284899,住,8,871.6495968620615
21,22,220,N,88000,60.0,25.0127008,121.4689169,住,22,1466.6666666666667
22,23,114,N,42000,44.7,25.0567155,121.5839567,住,10,939.5973154362415
23,24,114,Y,70000,84.51,25.0690834,121.5892012,住,4,828.3043426813394
24,25,100,N,25000,14.48,25.026135,121.5219111,住,2,1726.5193370165746
25,26,100,Y,35000,29.76,25.0382179,121.5290181,住,2,1176.0752688172042
26,27,242,N,15000,17.22,25.0305909,121.4136063,住,6,871.0801393728224
27,28,104,Y,35000,43.81,25.0574947,121.5405961,住,7,798.9043597352203
28,29,231,Y,35000,61.4,24.984639,121.5161066,住,1,570.0325732899023
30,31,10491,Y,25000,31.67,25.0464628,121.5391355,住,3,789.3905904641616
31,32,106,Y,28000,30.41,25.0360099,121.5460049,住,2,920.7497533706018
32,33,106,N,50000,32.99,25.0390251,121.5437945,住,2,1515.610791148833
33,34,103,N,30000,26.0,25.0686226,121.5143945,住,8,1153.8461538461538
34,35,103,Y,50000,25.19,25.0487056,121.5174194,住,13,1984.914648670107
35,36,106,N,25000,21.53,25.0309636,121.5479906,住,6,1161.1704598235021
36,37,106,N,45000,35.16,25.0417642,121.5382163,住,6,1279.8634812286691
