ID,cityID,pet,rent,space,lat,lng,label,floor,unit,transport,twd97,food:avgcost,tag:pet,tag:transport,tag:capital,tag:home,tag:sport,tag:culture,tag:safe,tag:food
1,251,N,25000,62.34,25.181836800000003,121.44048659999999,住,5,401.02662816811034,2,"(294397.3348892754, 2785990.99944911)",124.5,False,False,False,True,True,False,False,False
2,251,N,32000,50.7,25.1977186,121.42168500000001,住,2,631.1637080867849,1,"(292496.7590458528, 2787744.105060217)",0.0,False,False,False,True,False,False,False,False
3,251,N,25000,44.97,25.1785028,121.4549908,住,9,555.926173004225,2,"(295860.5031245211, 2785626.564141278)",233.16666666666666,False,False,False,True,False,False,False,False
4,251,N,5000,7.0,25.1709182,121.4418365,套,4,714.2857142857142,3,"(294537.36274929513, 2784782.0294764303)",130.21383647798743,False,False,True,False,True,False,False,False
5,239,N,6000,7.99,24.974047100000003,121.3271345,套,3,750.9386733416769,0,"(283028.0040912534, 2762942.787872167)",99.625,False,False,True,False,False,False,False,False
6,251,N,6500,8.0,25.171199899999998,121.4457487,套,4,812.5,3,"(294931.61650695995, 2784814.5315907956)",152.85987261146497,False,False,True,False,True,False,False,False
7,251,N,23000,46.83,25.182950899999998,121.44675330000001,住,6,491.13815929959435,2,"(295028.56413323886, 2786116.485555235)",119.57142857142857,False,False,False,True,False,False,False,False
8,111,N,35000,41.67,25.1230493,121.5320811,住,2,839.9328053755701,2,"(303655.14680234384, 2779512.615673692)",238.9,False,False,False,True,False,False,False,False
9,111,N,30000,37.84,25.1092383,121.53271459999999,住,3,792.8118393234672,2,"(303725.0676320712, 2777983.0698474147)",183.2941176470588,False,False,False,True,False,False,False,False
10,111,N,8300,8.0,25.0872039,121.51784779999998,住,4,1037.5,3,"(302235.05893326906, 2775536.5700889723)",136.65384615384616,False,True,True,True,False,False,True,False
11,110,N,32000,41.82,25.0206478,121.55659140000002,住,9,765.1841224294595,3,"(306173.51192798355, 2768179.955146012)",143.26582278481013,False,True,False,True,False,True,True,True
12,106,N,42000,44.0,25.0203684,121.52868240000001,住,4,954.5454545454544,3,"(303356.8876393343, 2768137.7241889057)",194.9920634920635,False,True,False,True,False,True,True,True
14,106,N,70000,51.51,25.0211974,121.5341457,住,7,1358.9594253543005,3,"(303907.91543556255, 2768231.7115880544)",216.62105263157895,False,True,False,True,False,True,True,True
15,242,Y,16800,22.3,25.0368448,121.44922279999999,住,4,753.3632286995515,3,"(295331.31573918427, 2769933.7777534155)",174.8989898989899,True,False,False,True,True,False,False,False
16,114,Y,27000,21.57,25.0984408,121.60485209999999,住,6,1251.7385257301808,0,"(311005.76349023, 2776817.7082104194)",0.0,True,False,False,True,False,False,False,False
