ID,cityID,pet,rent,space,lat,lng,label,floor,unit
1,251,N,25000,62.34,25.1818368,121.4404866,住,5,401.02662816811034
2,251,N,32000,50.7,25.1977186,121.421685,住,2,631.1637080867849
3,251,N,25000,44.97,25.1785028,121.4549908,住,9,555.926173004225
4,251,N,5000,7.0,25.1709182,121.4418365,套,4,714.2857142857143
5,239,N,6000,7.99,24.9740471,121.3271345,套,3,750.938673341677
6,251,N,6500,8.0,25.1711999,121.4457487,套,4,812.5
7,251,N,23000,46.83,25.1829509,121.4467533,住,6,491.1381592995943
8,111,N,35000,41.67,25.1230493,121.5320811,住,2,839.93280537557
9,111,N,30000,37.84,25.1092383,121.5327146,住,3,792.8118393234672
10,111,N,8300,8.0,25.0872039,121.5178478,住,4,1037.5
11,110,N,32000,41.82,25.0206478,121.5565914,住,9,765.1841224294595
12,106,N,42000,44.0,25.0203684,121.5286824,住,4,954.5454545454545
14,106,N,70000,51.51,25.0211974,121.5341457,住,7,1358.9594253543003
15,242,Y,16800,22.3,25.0368448,121.4492228,住,4,753.3632286995515
16,114,Y,27000,21.57,25.0984408,121.6048521,住,6,1251.7385257301808
17,111,Y,98000,63.69,25.1230493,121.5320811,住,1,1538.7030931072381
18,114,Y,26000,21.88,25.0867185,121.5627108,住,8,1188.2998171846436
19,114,Y,75000,74.05,25.0602247,121.5838595,住,5,1012.8291694800811
20,220,N,60000,67.71,25.0117601,121.4653737,住,7,886.1320336730174
21,100,Y,80000,91.78,25.0339771,121.5284899,住,8,871.6495968620615
23,114,N,42000,44.7,25.0567155,121.5839567,住,10,939.5973154362415
24,114,Y,70000,84.51,25.0690834,121.5892012,住,4,828.3043426813394
25,100,N,25000,14.48,25.026135,121.5219111,住,2,1726.5193370165746
26,100,Y,35000,29.76,25.0382179,121.5290181,住,2,1176.0752688172042
27,242,N,15000,17.22,25.0305909,121.4136063,住,6,871.0801393728224
28,104,Y,35000,43.81,25.0574947,121.5405961,住,7,798.9043597352203
29,231,Y,35000,61.4,24.984639,121.5161066,住,1,570.0325732899023
31,104,Y,25000,31.67,25.0464628,121.5391355,住,3,789.3905904641616
32,106,Y,28000,30.41,25.0360099,121.5460049,住,2,920.7497533706018
33,106,N,50000,32.99,25.0390251,121.5437945,住,2,1515.610791148833
34,103,N,30000,26.0,25.0686226,121.5143945,住,8,1153.8461538461538
35,103,Y,50000,25.19,25.0487056,121.5174194,住,13,1984.914648670107
36,106,N,25000,21.53,25.0309636,121.5479906,住,6,1161.1704598235021
37,106,N,45000,35.16,25.0417642,121.5382163,住,6,1279.8634812286691
38,112,N,35000,36.0,25.1186875,121.5238495,住,3,972.2222222222222
39,116,N,20000,30.12,24.9813948,121.5594878,住,4,664.0106241699867
40,116,Y,60000,50.43,24.9908527,121.542384,住,1,1189.767995240928
41,116,N,23000,26.51,24.9866234,121.5608752,住,1,867.597133157299
42,116,N,15000,9.47,24.9874844,121.5766531,住,5,1583.949313621964
43,116,N,38000,44.03,24.9952766,121.5596852,住,6,863.0479218714513
44,108,Y,12000,14.68,25.0190604,121.4946548,住,3,817.4386920980927
45,108,Y,35000,37.0,25.0465649,121.5070296,住,6,945.9459459459459
46,108,Y,28000,20.74,25.0465649,121.5070296,住,7,1350.0482160077147
47,108,N,32000,33.24,25.0231783,121.5027112,住,10,962.6955475330926
48,234,Y,48000,70.7,25.0089307,121.5093008,住,8,678.9250353606789
49,108,N,22000,20.15,25.0239599,121.4961252,住,1,1091.8114143920595
50,111,Y,23000,10.55,25.0920324,121.5234217,住,3,2180.094786729858
52,104,N,8000,4.0,25.0601242,121.5230692,住,2,2000.0
53,235,N,25000,27.22,24.9839721,121.5081025,住,13,918.4423218221896
54,103,Y,28000,24.0,25.0553161,121.5196351,住,2,1166.6666666666667
55,116,N,50000,71.68,24.9886613,121.5672329,住,8,697.5446428571428
57,103,Y,32000,15.43,25.0487056,121.5174194,住,14,2073.8820479585224
58,104,Y,40000,38.16,25.0580558,121.5252581,住,3,1048.2180293501049
59,116,N,35000,33.9,25.0060183,121.540672,住,5,1032.448377581121
60,116,N,53000,45.79,24.9952766,121.5596852,住,3,1157.4579602533304
61,111,N,32000,39.9,25.1181401,121.534585,住,4,802.0050125313284
62,231,N,14000,23.2,24.941372,121.503092,住,17,603.448275862069
63,231,N,22000,21.3,24.9838002,121.5259871,住,7,1032.8638497652582
64,231,N,48000,65.69,24.9838002,121.5259871,住,7,730.7048256964531
65,106,N,38000,41.95,25.0387287,121.555181,住,3,905.8402860548271
66,116,N,22000,30.0,24.9952766,121.5596852,住,4,733.3333333333334
67,111,N,36000,36.74,25.0910494,121.5217598,住,7,979.8584648884049
68,104,Y,45000,43.85,25.0580558,121.5252581,住,3,1026.2257696693273
69,231,N,32000,49.13,24.9762422,121.5280505,住,3,651.3331976389171
70,114,N,38000,47.68,25.0904738,121.5818993,住,3,796.9798657718121
71,112,N,16000,13.77,25.1361618,121.5086192,住,9,1161.9462599854758
73,116,Y,28000,41.0,24.9931543,121.5443835,住,3,682.9268292682926
